Year,Film,Language,Director,Writer,Cast,Producer
2009,Unnaipol Oruvan,Tamil,,Kamal Haasan,Kamal Haasan,Kamal Haasan
2009,Eenadu,Telugu,,Kamal Haasan,Kamal Haasan,Kamal Haasan
2010,Four Friends,Malayalam,,,Kamal Haasan,
2010,Manmadan Ambu,Tamil,,Kamal Haasan,Kamal Haasan,
2013,Vishwaroopam,Tamil,Kamal Haasan,Kamal Haasan,Kamal Haasan,Kamal Haasan
2013,Vishwaroop,Hindi,Kamal Haasan,Kamal Haasan,Kamal Haasan,Kamal Haasan
2015,Uttama Villain,Tamil,,Kamal Haasan,Kamal Haasan,Kamal Haasan
2015,Papanasam,Tamil,,,Kamal Haasan,
2015,Thoongaa Vanam,Tamil,,Kamal Haasan,Kamal Haasan,Kamal Haasan
2015,Cheekati Rajyam,Telugu,,Kamal Haasan,Kamal Haasan,Kamal Haasan
2016,Meen Kuzhambum Mann Paanaiyum,Tamil,,,Kamal Haasan,
2018,Vishwaroopam II,Tamil,Kamal Haasan,Kamal Haasan,Kamal Haasan,Kamal Haasan
2018,Vishwaroop II,Hindi,Kamal Haasan,Kamal Haasan,Kamal Haasan,Kamal Haasan
2022,Vikram,Tamil,,,Kamal Haasan,
2024,Kalki 2898 AD †,Telugu,,,Kamal Haasan,
2024,KH 233 †,Tamil,,,Kamal Haasan,
2024,Indian 2 †,Tamil,,,Kamal Haasan,
2024,KH 234 †,Tamil,,,Kamal Haasan,
1988,Sathya,Tamil,,,,Kamal Haasan
1994,Mahanadi,Tamil,,Kamal Haasan,,
2019,Kadaram Kondan,Tamil,,,,Kamal Haasan
1988,"""Mile Sur Mera Tumhara""",,,,Kamal Haasan,
2020,"""Arivum Anbum""",,,,Kamal Haasan,
2018,Amoli,Tamil,,,Kamal Haasan,
1976,Katha Sangama,Kannada,,,Rajinikanth,
1976,Baalu Jenu,Kannada,,,Rajinikanth,
1977,Kavikkuyil,Tamil,,,Rajinikanth,
1977,Raghupathi Raghavan Rajaram,Tamil,,,Rajinikanth,
1977,Chilakamma Cheppindi,Telugu,,,Rajinikanth,
1977,Bhuvana Oru Kelvi Kuri,Tamil,,,Rajinikanth,
1977,Ondu Premada Kathe,Kannada,,,Rajinikanth,
1977,Sahodarara Savaal,Kannada,,,Rajinikanth,
1977,Gayathri,Tamil,,,Rajinikanth,
1977,Kumkuma Rakshe,Kannada,,,Rajinikanth,
1977,Aaru Pushpangal,Tamil,,,Rajinikanth,
1977,Tholireyi Gadichindi,Telugu,,,Rajinikanth,
1977,Aame Katha,Telugu,,,Rajinikanth,
1977,Galate Samsara,Kannada,,,Rajinikanth,
1978,Shankar Salim Simon,Tamil,,,Rajinikanth,
1978,Kiladi Kittu,Kannada,,,Rajinikanth,
1978,Annadammula Savaal,Telugu,,,Rajinikanth,
1978,Aayiram Jenmangal,Tamil,,,Rajinikanth,
1978,Maathu Tappada Maga,Kannada,,,Rajinikanth,
1978,Mangudi Minor,Tamil,,,Rajinikanth,
1978,Bairavi,Tamil,,,Rajinikanth,
1978,Sadhurangam,Tamil,,,Rajinikanth,
1978,Vanakkatukuriya Kathaliye,Tamil,,,Rajinikanth,
1978,Mullum Malarum,Tamil,,,Rajinikanth,
1978,Iraivan Kodutha Varam,Tamil,,,Rajinikanth,
1978,Thai Meethu Sathiyam,Tamil,,,Rajinikanth,
1978,En Kelvikku Enna Bathil,Tamil,,,Rajinikanth,
1978,Paavathin Sambalam,Tamil,,,Rajinikanth,
1978,Justice Gopinath,Tamil,,,Rajinikanth,
1978,Priya,Tamil,,,Rajinikanth,
1978,Priya,Kannada,,,Rajinikanth,
1979,Kuppathu Raja,Tamil,,,Rajinikanth,
1979,Iddaru Asadhyule,Telugu,,,Rajinikanth,
1979,Dharma Yuddham,Tamil,,,Rajinikanth,
1979,Naan Vazhavaippen,Tamil,,,Rajinikanth,
1979,Tiger,Telugu,,,Rajinikanth,
1979,Aarilirunthu Arubathu Varai,Tamil,,,Rajinikanth,
1979,Annai Oru Aalayam,Tamil,,,Rajinikanth,
1979,Amma Evarikkaina Amma,Telugu,,,Rajinikanth,
1980,Billa,Tamil,,,Rajinikanth,
1980,Ram Robert Rahim,Telugu,,,Rajinikanth,
1980,Anbukku Naan Adimai,Tamil,,,Rajinikanth,
1980,Kaali,Tamil,,,Rajinikanth,
1980,Kaali,Telugu,,,Rajinikanth,
1980,Mayadari Krishnudu,Telugu,,,Rajinikanth,
1980,Naan Potta Savaal,Tamil,,,Rajinikanth,
1980,Johnny,Tamil,,,Rajinikanth,
1980,Ellam Un Kairasi,Tamil,,,Rajinikanth,
1980,Polladhavan,Tamil,,,Rajinikanth,
1980,Murattu Kaalai,Tamil,,,Rajinikanth,
1981,Thee,Tamil,,,Rajinikanth,
1981,Kazhugu,Tamil,,,Rajinikanth,
1981,Garjanai,Tamil,,,Rajinikanth,
1981,Garjanam,Malayalam,,,Rajinikanth,
1981,Garjane,Kannada,,,Rajinikanth,
1981,Netrikkan,Tamil,,,Rajinikanth,
1981,Ranuva Veeran,Tamil,,,Rajinikanth,
1982,Pokkiri Raja,Tamil,,,Rajinikanth,
1982,Thanikattu Raja,Tamil,,,Rajinikanth,
1982,Ranga,Tamil,,,Rajinikanth,
1982,Puthukavithai,Tamil,,,Rajinikanth,
1982,"Nandri, Meendum Varuga",Tamil,,,Rajinikanth,
1982,Enkeyo Ketta Kural,Tamil,,,Rajinikanth,
1982,Moondru Mugam,Tamil,,,Rajinikanth,
1983,Paayum Puli,Tamil,,,Rajinikanth,
1983,Thudikkum Karangal,Tamil,,,Rajinikanth,
1983,Andhaa Kaanoon,Hindi,,,Rajinikanth,
1983,Thai Veedu,Tamil,,,Rajinikanth,
1983,Sivappu Sooriyan,Tamil,,,Rajinikanth,
1983,Jeet Hamaari,Hindi,,,Rajinikanth,
1983,Adutha Varisu,Tamil,,,Rajinikanth,
1983,Thanga Magan,Tamil,,,Rajinikanth,
